strategy,ticker,buy_date,pnl_pct,runup_pct,bucket
A,6643,2023-05-29,13.07,57.88496724819395,3.50~100%
A,3131,2023-06-05,3.61,100.77219842723962,4.>100%
A,8210,2023-06-19,24.29,78.2945609743076,3.50~100%
A,4979,2023-07-03,21.11,165.66123993662467,4.>100%
A,4755,2023-06-19,-7.13,24.896246430390537,2.10~50%
A,4979,2023-07-10,25.49,214.38515382994612,4.>100%
A,8210,2023-07-03,18.26,142.02355403342574,4.>100%
A,3035,2023-07-17,18.25,110.78005907888301,4.>100%
A,3035,2023-07-24,-12.84,146.26667848421204,4.>100%
A,1519,2023-07-17,-1.49,144.93242787813304,4.>100%
A,3587,2023-07-31,-0.96,62.59625464040709,3.50~100%
A,8081,2023-08-07,2.57,33.071044871209345,2.10~50%
A,3044,2023-07-31,8.81,71.32965530333716,3.50~100%
A,2357,2023-08-07,14.83,38.74534154439206,2.10~50%
A,3163,2023-08-21,-7.8,90.6111837541427,3.50~100%
A,8081,2023-08-21,-1.47,30.728856834864732,2.10~50%
A,3711,2023-08-28,-5.19,15.49774856186548,2.10~50%
A,6285,2023-08-28,14.16,53.25859370053113,3.50~100%
A,6257,2023-08-28,4.37,12.112109314904847,2.10~50%
A,4966,2023-09-18,-9.8,41.139447108745124,2.10~50%
A,2313,2023-09-18,-4.05,36.492885463723766,2.10~50%
A,3529,2023-09-18,-9.92,29.67359716392889,2.10~50%
A,6274,2023-09-25,0.49,86.39453418121347,3.50~100%
A,2385,2023-09-25,5.4,18.730813213727288,2.10~50%
A,2454,2023-10-16,-3.79,28.834375568681708,2.10~50%
A,3035,2023-10-16,-5.0,31.08614532128804,2.10~50%
A,1560,2023-10-02,2.51,38.40928638181661,2.10~50%
A,2458,2023-10-23,-2.0,33.140858660676514,2.10~50%
A,2492,2023-11-06,-5.83,38.297869233936346,2.10~50%
A,3105,2023-11-06,-2.2,28.099166619860032,2.10~50%
A,6415,2023-11-20,-0.84,69.9588368025174,3.50~100%
A,6412,2023-11-06,10.49,21.495335675953967,2.10~50%
A,3324,2023-11-20,-7.47,35.74006374136165,2.10~50%
A,8996,2023-11-27,-3.15,21.8750098895008,2.10~50%
A,1519,2023-12-04,15.78,43.95348390429629,2.10~50%
A,2385,2023-11-27,6.98,52.91261492769198,3.50~100%
A,1513,2023-11-27,4.41,27.956989359995926,2.10~50%
A,6239,2023-12-11,20.01,23.000004279313643,2.10~50%
A,6515,2023-12-11,-3.21,38.347094942201245,2.10~50%
A,6239,2023-12-18,-3.61,48.500006418970464,2.10~50%
A,3532,2023-12-18,-5.55,28.928564638312725,2.10~50%
A,4966,2023-12-25,-10.46,25.388610536283934,2.10~50%
A,2353,2023-12-25,-2.12,48.03625615948254,2.10~50%
A,6643,2024-01-08,19.46,32.250571609245675,2.10~50%
A,6531,2024-01-08,5.86,36.47887774941335,2.10~50%
A,2059,2024-01-22,-7.53,61.654139276436595,3.50~100%
A,6214,2024-01-08,-1.89,15.847553207222475,2.10~50%
A,6239,2024-01-29,-3.26,41.03774013253976,2.10~50%
A,3231,2024-01-22,11.35,30.89888093785676,2.10~50%
A,2376,2024-01-29,24.84,38.49766262708131,2.10~50%
A,3081,2024-02-05,17.92,36.55243710810146,2.10~50%
A,2376,2024-02-19,-5.89,60.74563948865397,3.50~100%
A,3131,2024-02-26,17.94,68.06388694706617,3.50~100%
A,1513,2024-02-26,4.92,49.268283572932106,2.10~50%
A,2059,2024-02-26,0.16,57.48503427999998,3.50~100%
A,2404,2024-03-11,-11.69,56.707325936151676,3.50~100%
A,2385,2024-03-11,14.57,38.48580850695967,2.10~50%
A,2454,2024-03-11,-5.06,39.36290173797121,2.10~50%
A,2385,2024-03-18,-8.65,59.62146313514766,3.50~100%
A,1519,2024-03-18,1.69,121.01909266358575,4.>100%
A,8996,2024-03-25,-6.83,86.84210109515159,3.50~100%
A,2317,2024-03-18,16.21,38.07107174632275,2.10~50%
A,6139,2024-04-01,15.29,66.61922736579355,3.50~100%
A,2382,2024-04-01,-0.77,35.167460997366604,2.10~50%
A,1609,2024-04-15,15.67,67.97581549194788,3.50~100%
A,6214,2024-04-22,1.05,8.558557179928034,1.0~10%
A,8996,2024-04-29,7.73,82.07258997113341,3.50~100%
A,2357,2024-05-13,4.31,16.209487077476375,2.10~50%
A,2383,2024-05-20,-0.83,23.252497566050838,2.10~50%
A,2454,2024-05-13,14.56,20.150856891400625,2.10~50%
A,2353,2024-05-27,-10.79,38.13459033007303,2.10~50%
A,6223,2024-05-27,-1.4,74.5614067825219,3.50~100%
A,2454,2024-05-27,-1.76,33.02279630176704,2.10~50%
A,2404,2024-06-03,-4.15,11.485440386185152,2.10~50%
A,5483,2024-06-03,-2.46,14.133334981133,2.10~50%
A,3443,2024-06-03,-2.5,45.43608308834422,2.10~50%
A,3374,2024-06-17,-0.92,57.466087730643444,3.50~100%
A,1503,2024-06-24,-0.43,26.914662602964096,2.10~50%
A,3289,2024-06-24,6.78,20.940152685225204,2.10~50%
A,3131,2024-07-01,-4.46,59.167603618288965,3.50~100%
A,3105,2024-07-01,-2.87,29.629626759439397,2.10~50%
A,2449,2024-07-08,-3.96,57.769876180080345,3.50~100%
A,2395,2024-07-22,-6.73,10.116208496787138,2.10~50%
A,3374,2024-07-29,18.9,83.79267311988437,3.50~100%
A,6187,2024-08-12,19.25,33.87226691387808,2.10~50%
A,2449,2024-08-12,0.66,42.8041392476195,2.10~50%
A,3653,2024-08-19,-4.55,50.73307664793351,3.50~100%
A,2303,2024-08-12,0.67,11.476161423613782,2.10~50%
A,6415,2024-08-26,-9.93,32.82548236140009,2.10~50%
A,6187,2024-09-09,19.54,76.40449712771067,3.50~100%
A,6214,2024-09-16,-2.52,27.586206553051333,2.10~50%
A,3227,2024-09-16,16.53,73.43172889759923,3.50~100%
A,6187,2024-09-16,-0.18,112.13483146067415,4.>100%
A,6415,2024-09-30,18.31,29.639882478799294,2.10~50%
A,3529,2024-10-07,6.03,59.151195494605545,3.50~100%
A,6669,2024-10-14,-1.1,21.71254407631424,2.10~50%
A,3013,2024-10-21,6.32,91.98054501627495,3.50~100%
A,2317,2024-10-28,-2.22,34.375007595085364,2.10~50%
A,6442,2024-11-04,1.89,59.264926906743185,3.50~100%
A,2383,2024-11-25,-2.78,19.949811485338635,2.10~50%
A,2455,2024-11-25,-3.85,27.756646845382647,2.10~50%
A,8996,2024-12-02,-3.41,20.68376223877284,2.10~50%
A,2059,2024-12-09,-2.49,53.65853574528364,3.50~100%
A,3706,2024-11-25,-11.77,108.29268167021038,4.>100%
A,2383,2024-12-09,6.81,38.01757288563377,2.10~50%
A,3661,2024-12-16,5.98,67.3130169615827,3.50~100%
A,2368,2024-12-16,-2.46,40.643273274495165,2.10~50%
A,8046,2024-12-30,3.86,17.78847266307476,2.10~50%
A,4979,2025-01-06,21.74,45.58824020229705,2.10~50%
A,3529,2025-01-20,-8.09,25.912407500812613,2.10~50%
A,2308,2025-01-20,-7.58,14.018701392125857,2.10~50%
A,4979,2025-02-10,-9.25,76.4285755854948,3.50~100%
A,2059,2025-02-17,16.11,34.99999335419609,2.10~50%
A,6643,2025-02-17,-1.5,28.119803078791755,2.10~50%
A,3227,2025-02-17,-9.32,43.21607964810901,2.10~50%
A,2337,2025-03-10,-5.19,23.011358802722608,2.10~50%
A,2404,2025-03-31,-1.03,11.887253714112521,2.10~50%
A,6415,2025-04-14,-3.16,34.173228859415076,2.10~50%
A,2303,2025-04-14,1.08,12.151894491918183,2.10~50%
A,1560,2025-04-28,21.12,34.54545368971473,2.10~50%
A,3231,2025-04-21,4.71,39.566385110756755,2.10~50%
A,3017,2025-05-05,20.59,47.430252593462,2.10~50%
A,3131,2025-05-19,14.48,39.73509446882003,2.10~50%
