exp_id,strategy,ticker,buy_date,pnl_pct,bias_pct,runup60_pct,limitup_streak
2218,A,3044,2024-12-30,-0.85,1.76,8.77,0
2218,A,3081,2022-03-07,-6.34,0.12,6.42,0
2218,A,3081,2022-08-08,14.91,20.82,67.21,1
2218,A,3081,2024-02-05,17.92,25.0,35.15,0
2218,A,3081,2024-06-17,16.25,6.94,21.9,0
2218,A,3081,2024-09-30,16.39,30.94,194.03,0
2218,A,3081,2025-01-20,-9.37,25.75,61.9,0
2218,A,3105,2022-06-06,-4.42,14.08,23.81,0
2218,A,3105,2023-01-09,6.69,17.71,49.56,1
2218,A,3105,2023-11-06,-2.2,13.87,28.1,0
2218,A,3105,2025-12-22,21.26,20.58,108.29,1
2218,A,3105,2026-04-20,-8.15,42.95,181.9,3
2218,A,3131,2021-08-02,-1.07,4.07,55.08,0
2218,A,3131,2024-02-26,17.94,23.56,66.4,0
2218,A,3131,2024-07-01,-4.46,12.79,56.35,0
2218,A,3131,2025-05-26,18.04,19.08,58.94,0
2218,A,3131,2025-06-16,2.55,22.98,109.27,0
2218,A,3131,2026-01-05,0.81,18.28,32.21,1
2218,A,3189,2026-07-13,-15.89,6.0,109.55,0
2218,A,3231,2022-01-17,2.2,3.08,5.98,0
2218,A,3231,2022-08-08,0.48,8.09,18.16,0
2218,A,3231,2022-12-19,-4.02,8.6,20.32,0
2218,A,3231,2023-12-25,-3.79,4.31,8.3,0
2218,A,3231,2024-01-22,-1.88,19.11,30.61,0
2218,A,3231,2025-04-14,16.97,-0.92,30.25,0
2218,A,3231,2026-06-01,-6.6,20.94,42.04,2
2218,A,3231,2026-07-27,9.51,15.9,38.48,0
2218,A,3289,2022-10-17,-7.41,1.17,38.52,0
2218,A,3324,2023-04-17,-3.77,17.4,70.17,0
2218,A,3324,2024-03-11,14.44,25.19,97.17,1
2218,A,3324,2025-09-15,3.12,17.66,30.96,0
2218,A,3363,2023-05-22,-6.77,20.15,79.41,0
2218,A,3363,2024-10-07,15.23,20.1,61.74,1
2218,A,3363,2025-09-08,-8.14,8.56,54.34,0
2218,A,3443,2021-02-22,-10.95,15.7,28.86,1
2218,A,3443,2021-07-12,-12.41,9.3,54.26,0
2218,A,3443,2021-09-13,14.46,8.56,25.89,0
2218,A,3443,2021-11-01,-3.54,13.73,65.94,0
2218,A,3443,2022-05-09,16.68,3.8,21.67,0
2218,A,3443,2023-10-16,-5.52,17.45,37.2,0
2218,A,3443,2024-05-20,7.59,10.86,32.13,0
2218,A,3443,2025-11-24,6.18,12.69,57.77,0
2218,A,3443,2026-05-11,-15.95,40.06,164.67,1
2218,A,3529,2021-02-01,25.02,6.02,16.39,0
2218,A,3529,2021-05-03,-5.45,16.83,52.76,0
2218,A,3529,2023-02-06,-5.45,15.65,55.36,0
2218,A,3529,2024-06-17,-4.44,14.33,40.93,0
2218,A,3529,2024-08-19,-2.89,12.69,31.31,0
2218,A,3529,2024-10-21,-1.21,15.2,63.13,0
2218,A,3529,2026-04-13,16.55,14.72,112.08,0
2218,A,3533,2021-05-10,-12.41,5.86,12.77,0
2218,A,3533,2021-11-29,-4.03,8.54,33.33,0
2218,A,3533,2022-09-19,-8.67,6.35,39.7,0
2218,A,3533,2024-03-25,16.56,14.8,45.09,0
2218,A,3533,2026-01-26,-3.96,8.09,28.14,0
2218,A,3533,2026-03-23,2.66,14.52,56.3,0
2218,A,3587,2022-10-31,-0.24,5.97,22.22,1
2218,A,3587,2022-12-12,-2.11,12.71,46.22,0
2218,A,3587,2024-08-12,2.08,5.52,16.28,0
2218,A,3653,2021-06-07,-7.01,15.09,42.2,0
2218,A,3653,2021-10-18,10.3,4.41,22.98,0
2218,A,3653,2021-11-01,-1.75,8.37,39.52,0
2218,A,3653,2021-11-29,0.57,6.61,47.48,0
2218,A,3653,2023-03-27,-2.33,17.92,33.52,0
2218,A,3653,2023-05-29,-2.7,21.73,54.58,0
2218,A,3653,2023-12-18,-2.53,12.46,27.89,0
2218,A,3653,2024-02-26,3.42,15.75,56.41,0
2218,A,3653,2025-08-25,16.34,20.07,37.69,1
2218,A,3653,2026-02-02,-0.09,13.85,35.55,0
2218,A,3661,2021-03-15,-5.38,6.66,37.04,0
2218,A,3661,2021-10-18,20.52,5.32,69.98,0
2218,A,3661,2022-08-29,-3.67,18.68,55.34,0
2218,A,3661,2023-02-06,-2.84,9.42,37.61,0
2218,A,3661,2023-05-15,15.23,7.12,50.0,0
2218,A,3661,2023-10-30,16.9,3.69,52.59,0
2218,A,3661,2024-12-09,23.37,15.02,44.2,0
2218,A,3661,2025-02-10,0.54,11.95,62.62,0
2218,A,3661,2025-06-30,15.62,10.12,59.13,0
2218,A,3693,2026-01-12,-9.93,30.85,47.37,1
2218,A,3706,2024-11-25,-18.17,40.72,104.06,0
