ticker,buy_date,pnl_pct,is_grid_trial,streak_day,buy_year,bucket
3443,2021-01-11,-1.46,0,1,2021,1.第1天
2454,2021-01-11,-1.18,0,4,2021,4.第4-5天
3529,2021-01-11,2.0,0,2,2021,2.第2天
3105,2021-01-18,4.44,0,2,2021,2.第2天
2330,2021-01-18,5.95,0,0,2021,0.非同買日
2317,2021-01-18,-0.16,0,0,2021,0.非同買日
3706,2021-01-25,-0.77,0,2,2021,2.第2天
2357,2021-01-25,0.43,0,3,2021,3.第3天
2353,2021-01-25,8.89,0,1,2021,1.第1天
3105,2021-03-08,-0.34,0,2,2021,2.第2天
2345,2021-03-15,0.73,0,0,2021,0.非同買日
2454,2021-05-17,2.56,0,1,2021,1.第1天
3189,2021-05-17,3.59,0,1,2021,1.第1天
3443,2021-05-24,-2.15,0,5,2021,4.第4-5天
3587,2021-05-24,1.94,0,1,2021,1.第1天
2303,2021-05-24,4.71,0,1,2021,1.第1天
2356,2021-11-29,0.16,0,1,2021,1.第1天
2395,2021-12-06,1.64,0,1,2021,1.第1天
2382,2022-03-14,-0.6,0,1,2022,1.第1天
3231,2022-04-18,-1.28,0,0,2022,0.非同買日
2357,2022-04-18,0.66,0,0,2022,0.非同買日
2324,2022-05-09,0.94,0,0,2022,0.非同買日
3105,2022-06-27,-4.4,0,2,2022,2.第2天
2330,2022-06-27,-2.09,0,1,2022,1.第1天
3189,2022-07-11,-4.68,0,1,2022,1.第1天
2303,2022-09-12,-0.6,0,1,2022,1.第1天
2368,2022-09-19,5.72,0,0,2022,0.非同買日
3711,2022-10-17,-2.29,0,2,2022,2.第2天
3711,2022-10-24,-1.62,0,4,2022,4.第4-5天
3044,2022-10-31,2.97,0,2,2022,2.第2天
2353,2022-12-12,-1.23,0,0,2022,0.非同買日
3661,2022-12-19,-9.13,0,2,2022,2.第2天
3044,2022-12-26,-1.01,0,1,2022,1.第1天
3037,2023-04-24,-0.95,0,1,2023,1.第1天
2308,2023-09-25,-4.59,0,2,2023,2.第2天
2303,2024-04-08,1.5,0,1,2024,1.第1天
2330,2024-12-02,2.76,0,1,2024,1.第1天
8299,2025-07-14,1.52,0,1,2025,1.第1天
3706,2026-02-23,1.39,0,2,2026,2.第2天
6515,2026-06-08,-3.62,0,0,2026,0.非同買日
2395,2026-06-15,0.12,0,2,2026,2.第2天
2317,2026-06-15,1.07,0,2,2026,2.第2天
8046,2021-08-23,8.01,0,1,2021,1.第1天
3653,2021-09-13,-0.43,0,0,2021,0.非同買日
8299,2021-10-04,-3.75,0,0,2021,0.非同買日
3661,2021-12-20,5.25,0,0,2021,0.非同買日
3706,2022-01-17,-2.08,0,1,2022,1.第1天
2383,2022-02-07,-0.6,0,2,2022,2.第2天
3661,2022-03-14,-12.75,0,1,2022,1.第1天
2313,2022-03-14,2.49,0,1,2022,1.第1天
2353,2022-04-18,-5.15,0,0,2022,0.非同買日
6139,2022-05-09,0.57,0,0,2022,0.非同買日
2330,2022-05-16,0.93,0,1,2022,1.第1天
3105,2022-05-16,1.43,0,2,2022,2.第2天
3044,2022-05-23,-0.6,0,0,2022,0.非同買日
3189,2022-06-27,-14.42,0,2,2022,2.第2天
4966,2022-07-11,-12.81,0,1,2022,1.第1天
2353,2022-07-11,-0.83,0,3,2022,3.第3天
2356,2022-09-05,1.13,0,0,2022,0.非同買日
2330,2022-09-12,-1.93,0,1,2022,1.第1天
6414,2022-09-12,-3.91,0,2,2022,2.第2天
3706,2022-10-03,-1.34,0,0,2022,0.非同買日
6274,2022-10-17,-0.48,0,2,2022,2.第2天
3105,2022-10-24,-2.98,0,2,2022,2.第2天
3231,2022-10-31,-3.27,0,1,2022,1.第1天
6274,2022-12-19,-8.76,0,1,2022,1.第1天
2317,2022-12-19,-1.09,0,0,2022,0.非同買日
2376,2022-12-26,5.08,0,0,2022,0.非同買日
2317,2022-12-26,-2.47,0,0,2022,0.非同買日
2357,2023-01-16,3.47,0,2,2023,2.第2天
8210,2023-03-27,-0.12,0,1,2023,1.第1天
2059,2023-05-15,0.62,0,1,2023,1.第1天
3035,2023-08-14,16.73,0,0,2023,0.非同買日
3653,2023-08-14,0.08,0,0,2023,0.非同買日
6643,2023-08-21,0.53,0,1,2023,1.第1天
2059,2023-09-25,6.88,0,3,2023,3.第3天
8996,2023-09-25,4.33,0,1,2023,1.第1天
3533,2023-10-30,2.87,0,0,2023,0.非同買日
2345,2023-10-30,4.89,0,0,2023,0.非同買日
2455,2023-12-25,-1.85,0,2,2023,2.第2天
3443,2024-01-08,5.07,0,2,2024,2.第2天
3189,2024-01-15,-1.72,0,1,2024,1.第1天
3044,2024-01-29,9.96,0,2,2024,2.第2天
3338,2024-04-08,1.21,0,1,2024,1.第1天
8299,2024-04-29,0.38,0,1,2024,1.第1天
3653,2024-05-20,8.23,0,2,2024,2.第2天
3661,2024-05-20,1.5,0,1,2024,1.第1天
2353,2024-07-01,-1.23,0,1,2024,1.第1天
2330,2024-08-12,2.89,0,2,2024,2.第2天
2356,2024-09-16,-0.26,0,1,2024,1.第1天
8299,2024-11-18,5.96,0,0,2024,0.非同買日
2303,2024-12-02,-2.83,0,1,2024,1.第1天
3661,2024-12-02,17.4,0,3,2024,3.第3天
2356,2025-01-20,-8.46,0,1,2025,1.第1天
3044,2025-02-03,-0.35,0,1,2025,1.第1天
3231,2025-02-10,8.0,0,1,2025,1.第1天
2376,2025-02-10,1.94,0,1,2025,1.第1天
6442,2025-02-24,-11.79,0,0,2025,0.非同買日
3711,2025-03-17,1.3,0,1,2025,1.第1天
2382,2025-04-14,1.15,0,0,2025,0.非同買日
2356,2025-04-14,-4.89,0,0,2025,0.非同買日
2353,2025-04-21,4.45,0,0,2025,0.非同買日
2059,2025-07-07,0.87,0,0,2025,0.非同買日
3131,2025-11-03,-8.75,0,1,2025,1.第1天
3693,2025-12-08,-11.57,0,1,2025,1.第1天
2059,2026-02-23,12.2,0,1,2026,1.第1天
6643,2026-03-02,-8.79,0,2,2026,2.第2天
2368,2026-03-09,17.3,0,0,2026,0.非同買日
2308,2021-08-16,-4.87,0,0,2021,0.非同買日
3583,2023-10-23,-4.92,0,0,2023,0.非同買日
3289,2023-10-23,8.2,0,0,2023,0.非同買日
3081,2021-02-01,-3.75,0,0,2021,0.非同買日
2376,2021-08-09,-6.92,0,0,2021,0.非同買日
2317,2021-08-09,-3.26,0,0,2021,0.非同買日
6282,2021-08-09,-3.46,0,0,2021,0.非同買日
2360,2021-08-16,-1.71,0,0,2021,0.非同買日
2313,2021-12-20,1.25,0,0,2021,0.非同買日
3587,2021-12-20,3.69,0,0,2021,0.非同買日
6187,2024-07-29,10.45,0,0,2024,0.非同買日
3035,2022-06-13,-17.97,0,0,2022,0.非同買日
2308,2023-11-27,0.03,0,0,2023,0.非同買日
2353,2023-02-06,0.79,0,1,2023,1.第1天
3711,2023-01-16,3.34,0,3,2023,3.第3天
3189,2021-10-18,12.75,0,0,2021,0.非同買日
3443,2024-05-13,8.71,0,1,2024,1.第1天
3711,2021-08-02,-0.6,0,0,2021,0.非同買日
3583,2022-01-10,-14.72,0,0,2022,0.非同買日
6139,2022-01-10,-6.03,0,0,2022,0.非同買日
2376,2023-04-24,-5.02,0,1,2023,1.第1天
3653,2021-02-22,-6.37,0,0,2021,0.非同買日
6187,2021-02-22,-6.54,0,1,2021,1.第1天
3034,2021-03-22,-0.41,0,0,2021,0.非同買日
2356,2021-03-22,-0.23,0,0,2021,0.非同買日
2324,2021-04-19,0.3,0,0,2021,0.非同買日
2368,2021-04-19,0.85,0,0,2021,0.非同買日
6643,2021-04-26,-1.79,0,1,2021,1.第1天
6187,2021-04-26,-0.6,0,0,2021,0.非同買日
3037,2021-05-24,-1.08,0,0,2021,0.非同買日
2454,2021-05-31,-4.19,0,2,2021,2.第2天
2455,2021-06-07,0.68,0,1,2021,1.第1天
2395,2021-06-28,1.46,0,0,2021,0.非同買日
3231,2021-06-28,0.05,0,0,2021,0.非同買日
3035,2021-07-05,6.85,0,0,2021,0.非同買日
6139,2021-07-12,1.53,0,0,2021,0.非同買日
2357,2021-09-27,-4.1,0,0,2021,0.非同買日
2313,2021-11-22,-2.89,0,1,2021,1.第1天
3017,2021-05-24,9.39,0,0,2021,0.非同買日
3661,2021-05-31,-3.16,0,0,2021,0.非同買日
3529,2021-06-07,14.31,0,0,2021,0.非同買日
3037,2021-07-05,5.8,0,0,2021,0.非同買日
