期間,進場方式,股票代號,名稱,買進日,賣出日,買進價,賣出價,損益%,損益金額,持有天數,出場原因
全期間2021-2026,一次買完,6415,未知,2021-06-28,2021-07-16,879.45,945.71,6.89,7501.23,18,積分轉負
全期間2021-2026,一次買完,5483,未知,2021-06-28,2021-07-27,147.77,155.65,4.7,5629.95,29,觸發停損
全期間2021-2026,一次買完,2455,全新,2021-06-28,2021-07-28,120.45,116.52,-3.84,-4643.93,30,積分轉負
全期間2021-2026,一次買完,3413,未知,2021-07-05,2021-07-19,188.08,188.47,-0.4,-754.55,14,積分轉負
全期間2021-2026,一次買完,6202,未知,2021-07-12,2021-07-16,93.92,111.33,17.83,54545.06,4,15%停利
全期間2021-2026,一次買完,8046,南電,2021-07-12,2021-07-26,369.29,332.62,-10.47,-21817.21,14,積分轉負
全期間2021-2026,一次買完,3443,創意,2021-07-12,2021-07-28,440.18,387.89,-12.41,-186.25,16,觸發停損
全期間2021-2026,一次買完,6531,愛普*,2021-08-02,2021-08-05,350.89,340.96,-3.41,-3691.74,3,積分轉負
全期間2021-2026,一次買完,6223,未知,2021-08-02,2021-08-06,149.36,135.22,-10.01,-11031.51,4,積分轉負
全期間2021-2026,一次買完,4966,譜瑞-KY,2021-08-02,2021-08-09,1553.14,1482.54,-5.12,-5682.23,7,積分轉負
全期間2021-2026,一次買完,3131,弘塑,2021-08-02,2021-08-09,365.81,364.07,-1.07,-1579.19,7,積分轉負
全期間2021-2026,一次買完,2337,未知,2021-08-02,2021-08-09,37.43,36.58,-2.85,-5653.23,7,積分轉負
全期間2021-2026,一次買完,5269,祥碩,2021-08-02,2021-08-09,1780.0,1695.66,-5.31,-5985.17,7,積分轉負
全期間2021-2026,一次買完,3529,力旺,2021-08-02,2021-08-10,1291.35,1262.65,-2.81,-3043.7,8,積分轉負
全期間2021-2026,一次買完,8081,未知,2021-08-02,2021-08-27,192.12,183.59,-5.02,-5147.6,25,積分轉負
全期間2021-2026,一次買完,6412,未知,2021-08-09,2021-08-11,53.98,52.53,-3.27,-2627.88,2,積分轉負
全期間2021-2026,一次買完,2303,聯電,2021-08-09,2021-08-13,47.42,44.13,-7.5,-5733.41,4,積分轉負
全期間2021-2026,一次買完,6415,未知,2021-08-09,2021-08-13,975.98,907.13,-7.61,-6103.53,4,積分轉負
全期間2021-2026,一次買完,2059,川湖,2021-08-09,2021-08-13,344.2,335.94,-2.98,-4348.74,4,積分轉負
全期間2021-2026,一次買完,5347,未知,2021-08-09,2021-08-16,112.24,107.92,-4.42,-3617.19,7,積分轉負
全期間2021-2026,一次買完,2412,未知,2021-08-09,2021-08-25,93.55,90.97,-3.34,-12907.73,16,觸發停損
全期間2021-2026,一次買完,3081,聯亞,2021-08-16,2021-08-19,203.15,181.9,-11.0,-881.91,3,觸發停損
