ticker,buy_date,sell_date,entry_regime,buy_price,sell_price,reason,pnl_pct,pnl,hold_days,final_stage
6223,2025-06-23,2025-08-20,空頭,880.5,1116.19,保本停利(直接出清),26.01,38984.72,58,1
2059,2025-07-21,2025-08-22,多頭,2472.62,2922.64,保本停利(直接出清),17.49,169330.67,32,3
2345,2025-08-11,2025-08-22,多頭,1011.99,932.62,高點打折鎖利,-8.39,-18522.45,11,3
3653,2025-08-25,2025-09-01,多頭,1778.95,2191.39,保本停利(直接出清),22.45,32114.86,7,3
2404,2025-08-25,2025-09-03,多頭,1085.14,1027.0,高點打折鎖利,-5.92,-9728.09,9,3
3706,2025-08-25,2025-09-04,多頭,88.75,83.5,高點打折鎖利,-6.47,-10761.62,10,3
2454,2025-04-14,2025-09-24,空頭,1322.98,1296.96,高點打折鎖利,-2.55,-4773.67,163,3
6139,2025-06-23,2025-09-26,空頭,334.39,349.0,保本停利(防守線回落),3.75,18738.91,95,3
3363,2025-09-08,2025-10-14,多頭,382.0,342.5,高點打折鎖利,-10.88,-50228.01,36,3
8086,2025-08-04,2025-10-17,多頭,101.93,103.0,保本停利(防守線回落),0.44,591.22,74,3
3443,2025-08-25,2025-10-30,多頭,1294.1,1433.47,高點打折鎖利,10.11,22934.36,66,3
2317,2025-08-25,2025-11-07,多頭,201.5,236.94,保本停利(直接出清),16.89,50400.95,74,3
6515,2025-09-01,2025-11-07,空頭,1527.86,2362.53,保本停利(直接出清),53.71,535982.23,67,3
6223,2025-09-08,2025-11-07,多頭,1519.81,2062.95,保本停利(直接出清),34.93,180166.1,60,3
2308,2025-10-13,2025-11-14,多頭,1024.64,917.2,高點打折鎖利,-11.02,-39438.51,32,3
2313,2025-10-20,2025-11-18,多頭,85.75,77.23,高點打折鎖利,-10.47,-1984.79,29,3
8210,2025-11-10,2025-11-18,多頭,1004.28,923.14,高點打折鎖利,-8.63,-31156.72,8,3
8046,2025-10-13,2025-11-19,多頭,266.94,250.47,高點打折鎖利,-6.73,-23064.3,37,3
3013,2025-10-20,2025-11-19,多頭,131.47,119.52,高點打折鎖利,-9.63,-50796.51,30,3
2368,2025-11-10,2025-11-20,多頭,478.61,569.97,保本停利(直接出清),18.37,61684.27,10,3
3443,2025-11-10,2025-11-25,多頭,1881.43,2165.14,保本停利(直接出清),14.39,43445.46,15,3
6442,2025-11-17,2025-11-25,空頭,1067.81,1298.78,保本停利(直接出清),20.9,208620.01,8,3
6510,2025-11-24,2025-12-16,空頭,1727.59,2342.37,保本停利(直接出清),34.77,52131.86,22,3
1560,2025-11-24,2025-12-16,空頭,309.88,367.54,保本停利(直接出清),17.9,47393.33,22,3
6223,2025-11-24,2026-01-08,空頭,2029.12,2112.78,保本停利(防守線回落),3.5,4814.06,45,3
4991,2025-12-22,2026-01-14,多頭,211.5,200.5,高點打折鎖利,-5.77,-34301.05,23,3
2356,2025-12-01,2026-01-27,空頭,42.67,44.07,保本停利(防守線回落),2.67,4361.61,57,1
1519,2025-11-03,2026-02-02,多頭,702.42,841.83,高點打折鎖利,19.13,47799.01,91,3
3131,2025-11-24,2026-02-02,空頭,1406.5,1575.99,高點打折鎖利,11.38,19154.0,70,3
3105,2025-12-22,2026-02-02,多頭,190.2,220.57,高點打折鎖利,15.27,61912.89,42,3
2337,2026-01-12,2026-02-06,多頭,61.2,80.8,高點打折鎖利,31.24,312363.6,25,3
6415,2026-02-02,2026-03-03,多頭,286.98,251.3,高點打折鎖利,-12.96,-28250.57,29,3
2454,2025-12-01,2026-03-04,空頭,1393.91,1709.78,保本停利(直接出清),21.93,99844.05,93,3
8046,2026-01-19,2026-03-04,多頭,317.33,449.06,高點打折鎖利,40.66,406629.23,44,3
3653,2026-02-02,2026-03-04,多頭,2936.77,2862.23,高點打折鎖利,-3.12,-9013.68,30,3
4958,2026-02-02,2026-03-04,多頭,182.25,177.78,高點打折鎖利,-3.04,-7037.0,30,3
4979,2026-02-02,2026-03-04,多頭,317.86,416.35,保本停利(直接出清),30.2,78776.85,30,3
2383,2026-02-09,2026-03-13,多頭,2080.0,2705.0,保本停利(直接出清),29.27,292118.73,32,3
6515,2026-03-09,2026-03-13,空頭,5177.5,6238.87,保本停利(直接出清),19.78,12721.08,4,2
3653,2026-03-09,2026-03-19,空頭,3309.52,3875.93,保本停利(直接出清),16.41,10785.98,10,2
2313,2026-03-16,2026-03-27,空頭,230.74,267.33,保本停利(直接出清),15.17,60479.42,11,3
5434,2025-11-24,2026-03-31,空頭,288.88,297.15,高點打折鎖利,2.25,6262.7,127,3
2324,2026-03-09,2026-03-31,空頭,30.68,26.95,防線B(破支撐),-12.68,-25103.93,22,3
8996,2026-04-13,2026-05-07,多頭,1095.0,1075.0,高點打折鎖利,-2.41,-11973.54,24,3
3529,2026-04-13,2026-05-13,多頭,3139.56,3894.65,高點打折鎖利,23.31,116998.93,30,3
3533,2026-03-23,2026-05-14,空頭,2104.56,2407.31,高點打折鎖利,13.7,136740.3,52,3
2395,2026-03-09,2026-05-19,空頭,336.08,451.78,保本停利(直接出清),33.62,51977.09,71,3
2357,2026-03-09,2026-05-19,空頭,515.25,603.48,保本停利(直接出清),16.42,36318.05,71,3
6223,2026-03-16,2026-05-19,空頭,3696.1,5710.49,保本停利(直接出清),53.58,321491.2,64,3
4958,2026-03-30,2026-05-19,空頭,224.96,405.73,保本停利(直接出清),79.27,237822.97,50,1
2458,2026-03-09,2026-05-20,空頭,131.57,153.0,保本停利(直接出清),15.6,32630.01,72,3
2313,2026-05-18,2026-05-28,多頭,256.44,256.44,高點打折鎖利,-0.6,-2403.27,10,3
6223,2026-05-25,2026-06-02,多頭,6178.89,5496.22,高點打折鎖利,-11.58,-19187.2,8,3
2492,2026-05-25,2026-06-04,多頭,319.8,389.93,高點打折鎖利,21.2,44013.99,10,3
6770,2026-05-25,2026-06-05,多頭,67.6,74.6,高點打折鎖利,9.69,18312.39,11,3
3231,2026-06-01,2026-06-08,多頭,167.84,157.72,高點打折鎖利,-6.6,-65965.87,7,3
6412,2026-05-25,2026-06-09,多頭,99.91,88.9,高點打折鎖利,-11.55,-31638.67,15,3
6274,2026-05-25,2026-06-11,多頭,1600.0,1475.0,高點打折鎖利,-8.36,-13649.8,17,3
8996,2026-06-08,2026-06-11,多頭,1210.0,1140.0,高點打折鎖利,-6.35,-15000.37,3,3
3653,2026-06-08,2026-06-25,多頭,3796.43,3369.08,高點打折鎖利,-11.79,-28599.07,17,3
6139,2026-05-18,2026-06-26,多頭,721.0,878.0,保本停利(直接出清),21.05,125913.43,39,3
2492,2026-06-15,2026-06-26,多頭,447.13,537.15,保本停利(直接出清),19.41,49886.75,11,3
8996,2026-06-15,2026-06-26,多頭,1255.0,1370.0,高點打折鎖利,8.51,25871.19,11,3
6510,2026-06-08,2026-06-29,多頭,3545.88,3018.72,高點打折鎖利,-15.38,-42971.51,21,3
4958,2026-06-08,2026-07-07,多頭,512.0,548.0,高點打折鎖利,6.39,15345.99,29,3
8046,2026-06-29,2026-07-07,空頭,1080.0,1030.0,高點打折鎖利,-5.2,-2650.98,8,1
3131,2026-06-29,2026-07-07,空頭,3495.66,3127.44,高點打折鎖利,-11.07,-6030.21,8,1
2404,2026-06-15,2026-07-08,多頭,1337.04,1162.65,高點打折鎖利,-13.56,-59350.79,23,3
6139,2026-06-29,2026-07-14,空頭,917.59,834.0,高點打折鎖利,-9.65,-10790.33,15,2
2458,2026-06-29,2026-07-17,空頭,184.74,164.5,高點打折鎖利,-11.49,-21924.27,18,3
6182,2026-07-13,2026-07-17,空頭,187.99,149.5,高點打折鎖利,-20.95,-29942.38,4,2
5483,2026-07-13,2026-07-17,空頭,252.34,232.98,高點打折鎖利,-8.22,-24125.48,4,3
4958,2026-07-13,2026-07-17,空頭,629.49,521.0,防線B(破支撐),-17.73,-45414.33,4,3
3189,2026-07-13,2026-07-17,空頭,824.85,693.0,高點打折鎖利,-16.49,-35000.0,4,3
6414,2026-07-20,2026-07-22,空頭,424.29,490.0,保本停利(直接出清),14.8,11779.39,2,2
5227,2026-07-20,2026-07-22,空頭,33.72,38.9,保本停利(直接出清),14.66,8475.4,2,2
